year,happiness,log_gdp_per_capita,social_support,life_expectancy,freedom_choices,generosity,corruption,positive_affect,negative_affect,ID
2011,7.037816525,9.633741379,0.916252911,64.05999756,0.833655775,-0.077810943,0.662166715,0.698406935,0.267524213,265
2012,6.660003662,9.643767357,0.890314102,64.22000122,0.848606348,-0.059903487250000026,0.622543156,0.685310841,0.349758685,266
2013,7.140282631,9.664690018,0.910421729,64.37999725,0.784814954,-0.100164481,0.706954181,0.724736154,0.275667757,267
2014,6.980998993,9.661138535,0.898316443,64.54000092,0.713814318,-0.120650783,0.710303426,0.717960238,0.273540527,268
2015,6.546896935,9.616577148,0.906693101,64.69999695,0.798935294,-0.021022275,0.771339059,0.687063634,0.324699104,269
2016,6.374817371,9.575156212,0.912455142,64.875,0.806571543,-0.105772823,0.781092763,0.711286247,0.30208382,270
2017,6.332929134,9.580375671,0.904694259,65.05000305,0.764792562,-0.180597365,0.794457376,0.669117153,0.307716906,271
2007,3.843797922,9.745569229,0.831507623,64.77999878,0.5657866,-0.145663857,0.976061046,0.500228405,0.226256058,278
2010,3.912276268,9.807011604,0.84327203,65.19999695,0.544536412,-0.152965218,0.940970004,0.51338315,0.237594187,279
2011,3.875382423,9.834218025,0.860272288,65.33999634,0.663527906,-0.236375868,0.947978675,0.489642143,0.270931035,280
2012,4.222297192,9.847531319,0.837966621,65.48000336,0.641256452,-0.180770397,0.938208699,0.50955528,0.236632824,281
2013,3.993020535,9.847506523,0.829132318,65.62000275,0.60321337,-0.199144945,0.9620471,0.536720932,0.278313011,282
2014,4.438439846,9.862812996,0.885949194,65.76000214,0.575595915,-0.062365212,0.954636931,0.542282879,0.235593721,283
2015,4.865401268,9.902899742,0.907517016,65.90000153,0.636817813,-0.207007244,0.941279948,0.555951655,0.214223832,284
2016,4.837560654,9.93985939,0.92603606,66.0,0.700265527,-0.176851079,0.935988188,0.544566214,0.171699852,285
2017,5.096901894,9.974410057,0.94175458,66.09999847,0.689047039,-0.160293892,0.910799742,0.541951478,0.188637346,286
2006,3.801490784,7.327224731,0.796405017,49.43999863,0.588338017,0.026074894,0.797700584,0.677514315,0.265572011,293
2007,4.017130375,7.337188244,0.770785034,49.88000107,0.582292378,-0.062261336,0.832764924,0.609042525,0.280694842,294
2008,3.846438885,7.364132404,0.726650596,50.31999969,0.612064183,-0.103037156,0.88712436,0.538071811,0.303892225,295
2010,4.035560608,7.415699959,0.773103535,51.20000076,0.586580753,-0.038497802,0.767335117,0.564608276,0.216673478,296
2011,4.785367489,7.450127602,0.709528148,51.63999939,0.724568486,-0.106959395,0.706798375,0.578328431,0.204735845,297
2012,3.95500803,7.482338905,0.743765771,52.08000183,0.621848702,-0.071973592,0.726286888,0.486566842,0.29972294,298
2013,3.325949669,7.508564949,0.745216608,52.52000046,0.741257429,-0.018215159,0.764721453,0.592102945,0.286765754,299
2014,3.481347799,7.521125793,0.742262065,52.95999908,0.709964514,-0.006055626,0.800757825,0.603991866,0.255644113,300
2015,4.418930054,7.529865265,0.705393493,53.40000153,0.659102738,0.001228763,0.692723989,0.554707587,0.359287649,301
2016,4.205634594,7.558389664,0.764401138,53.77500153,0.644681513,-0.002879497,0.720542431,0.590086639,0.337300181,302
2017,4.646891117,7.589920044,0.784761369,54.15000153,0.613774717,-0.065626979,0.727451324,0.579846919,0.353821069,303
2008,3.563227654,6.700229168,0.290933818,49.65999985,0.260069311,-0.022360979,0.859813631,0.415189862,0.252771467,309
2009,3.791680813,6.686863422,0.325692534,50.27999878,0.427355915,-0.021462269,0.718203425,0.60685575,0.163642839,310
2011,3.705894232,6.69414711,0.422240019,51.52000046,0.489863038,-0.063365385,0.677107692,0.571715295,0.190344945,311
2014,2.904535055,6.722984791,0.564678133,53.38000107,0.431384981,-0.059028614,0.807618856,0.621641695,0.251094639,312
2006,3.568744659,7.746443272,0.793081462,57.63999939,0.9317589726363636,0.250096232,0.829181135,0.6816265934100001,0.341023296,314
2007,4.15597105,7.826251507,0.675132096,57.97999954,0.818699539,0.110562585,0.878507555,0.6559564459600005,0.320335418,315
2008,4.462163925,7.874457359,0.619264305,58.31999969,0.914172947,0.040608004,0.888392031,0.599989057,0.335324019,316
2009,4.110625744,7.860245228,0.818258047,58.65999985,0.937233329,0.147660166,0.96477896,0.691364467,0.187686995,317
2010,4.141072273,7.903593063,0.69716382,59.0,0.940131187,0.344960243,0.895714462,0.66197139,0.421966344,318
2011,4.161225319,7.957363129,0.715518951,59.34000015,0.927462399,0.413481414,0.775355637,0.637012541,0.307868689,319
